Country,WB_WDI_CC_PER_RANK,WB_WDI_PV_PER_RNK,Country_fi
Afghanistan,13.68,1.42,Afganistan
Albania,43.4,51.66,Albania
Algeria,30.19,23.22,Algeria
American Samoa,87.74,91.94,Amerikan Samoa
Andorra,87.74,98.58,Andorra
Angola,29.25,32.23,Angola
Antigua and Barbuda,62.26,80.57,Antigua ja Barbuda
Argentina,41.98,41.71,Argentiina
Armenia,57.08,17.06,Armenia
Aruba,75.47,97.63,Aruba
Australia,95.75,79.62,Australia
Austria,83.49,71.56,Itävalta
Azerbaijan,12.26,18.01,Azerbaidžan
"Bahamas, The",88.21,84.83,Bahama
Bahrain,59.43,29.38,Bahrain
Bangladesh,14.62,15.64,Bangladesh
Barbados,89.62,93.84,Barbados
Belarus,26.89,18.48,Valkovenäjä
Belgium,89.15,58.29,Belgia
Belize,48.11,65.4,Belize
Benin,52.83,31.75,Benin
Bermuda,87.74,86.73,Bermuda
Bhutan,91.04,83.41,Bhutan
Bolivia,21.7,35.07,Bolivia
Bosnia and Herzegovina,30.66,31.28,Bosnia ja Hertsegovina
Botswana,73.58,87.2,Botswana
Brazil,34.43,28.44,Brasilia
Brunei Darussalam,88.68,96.68,Brunei Darussalamin valtio
Bulgaria,50,55.45,Bulgaria
Burkina Faso,49.53,5.69,Burkina Faso
Burundi,3.3,12.8,Burundi
Cabo Verde,81.13,79.15,Kap Verde
Cambodia,9.43,47.87,Kambodža
Cameroon,13.21,11.37,Kamerun
Canada,94.81,76.3,Kanada
Cayman Islands,65.09,99.53,Caymansaaret
Central African Republic,8.96,3.32,Keski-Afrikan tasavalta
Chad,4.72,9,Tšad
Chile,80.66,50.24,Chile
China,54.25,25.12,Kiina
Colombia,44.81,18.96,Kolumbia
Comoros,19.34,38.86,Komorit
"Congo, Dem. Rep.",5.19,5.21,Kongon demokraattinen tasavalta
"Congo, Rep.",8.02,46.92,Kongon Tasavalta
Costa Rica,72.64,83.89,Costa Rica
Côte d’Ivoire,44.34,21.8,Norsunluurannikko
Croatia,59.91,67.77,Kroatia
Cuba,52.36,56.87,Kuuba
Cyprus,62.74,59.24,Kypros
Czechia,76.89,82.46,Tšekki
Denmark,100,76.78,Tanska
Djibouti,23.58,24.64,Djibouti
Dominica,67.45,95.73,Dominica
Dominican Republic,37.74,53.55,Dominikaaninen tasavalta
Ecuador,27.83,32.7,Ecuador
"Egypt, Arab Rep.",24.53,16.59,Egypti
El Salvador,32.08,46.45,El Salvador
Equatorial Guinea,2.83,38.39,Päiväntasaajan Guinea
Eritrea,5.66,17.54,Eritrea
Estonia,91.51,69.19,Viro
Eswatini,25,30.81,Swazimaa
Ethiopia,37.26,6.16,Etiopia
Fiji,66.04,72.99,Fidži
Finland,99.53,71.09,Suomi
France,83.96,55.92,Ranska
Gabon,17.92,33.65,Gabon
"Gambia, The",46.23,45.97,Gambia
Georgia,71.23,33.18,Georgia
Germany,94.34,66.35,Saksa
Ghana,51.42,45.5,Ghana
Greece,58.02,54.03,Kreikka
Greenland,82.08,98.1,Grönlanti
Grenada,68.4,86.26,Grenada
Guam,87.74,78.2,Guam
Guatemala,14.15,36.97,Guatemala
Guinea,20.28,16.11,Guinea
Guinea-Bissau,12.74,34.12,Guinea-Bissau
